7896727918963;COD_LST;COD_NBS;ID_ESTOQUE;DESCRICAO;UNI_MEDIDA;PRC_CUSTO;PRC_VENDA;UTL_VENDA;MARGEM_LB;POR_COMISSAO;ULT_FORNEC;NOME;ID_TIPOITEM;TIPO_ITEM;ADICIONAL1;ADICIONAL2;ID_INDEXADOR;INDEXADOR;ID_GRUPO;GRUPO;DESC_CMPL;COD_BARRA;REFERENCIA;PRC_MEDIO;QTD_ATUAL;QTD_MINIM;QTD_INICIO;ULT_COMPRA;PESO;IPI;CF;CST;CST_IPI;CST_PIS;CST_COFINS;PIS;COFINS;IAT;IPPT;COD_NCM;CSOSN;MVA;ID_NIVEL1;NIVEL1;ID_NIVEL2;NIVEL2;TAXA_ICMS;GRADE_SERIE;ISS_ALIQ;ANP;FCI;PRC_ATACADO;CFOP_NF;CFOP_CF;COD_CEST;CENQ;OBSERVACAO
1;;;1;SHAMPOO SALON OPUS DESAMARELADOR 350ml;UN;8,82;19,9;03/08/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7896010170375;;8,82;0;0;0;14/06/2021;0;0;;41;53;6;6;0;0;A;T;33051000;102;0;;;;;;N;;;;;5102;5102;2001700;999;
2;;;2;MASCARA SALON OPUS DESAMARELADOR VIOLET;UN;13,5;21,9;12/11/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7896010174052;;13,5;0;0;0;14/06/2021;0;0;;41;53;6;6;0;0;A;P;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;
3;;;3;ESMALTE RISQUE LOVE;UN;2,59;5,9;06/07/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182032476;270285;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
4;;;4;ESMALTE RISQUE - BIANCO PURISSIMO;UN;2,59;5,9;23/02/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;;270286;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
5;;;5;ESMALTE RISQUE PLATINO;UN;2,59;5,9;26/03/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182860017;270295;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
6;;;6;ESMALTE RISQUE ANGELICA;UN;2,59;5,9;01/07/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;;270300;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
7;;;7;ESMALTE RISQUE CONDESSA;UN;2,59;5,9;05/07/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182013604;270303;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
8;;;8;ESMALTE RISQUE CLASSIC;UN;2,2033;3,9;15/09/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;;;2,26;0;1;0;30/07/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
9;;;9;ESMALTE RISQUE TULE;UN;2,59;5,9;19/02/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182036009;270333;2,59;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
10;;;10;ESMALTE RISQUE - TECH BASE COBERTURA BRILHO;UN;4,05;6,9;25/05/2021;;;1;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182991933;270394;4,05;0;1;0;05/01/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
11;;;11;ESMALTE RISQUE LEO MANDOU FLORES;UN;2,71;5,9;01/09/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182016148;270927;2,78;0;0;0;27/09/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
12;;;12;ESMALTE RISQUE BASE SEDA;UN;2,6467;5,9;10/05/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182040020;270528;3,56;0;0;0;08/07/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
13;;;13;ESMALTE RISQUE PRETO SEPIA;UN;2,595;5,9;11/10/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182033541;270546;2,66;0;0;0;25/07/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
14;;;14;ESMALTE RISQUE REBU;UN;2,6883;5,9;18/05/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182810142;270571;2,65;0;0;0;18/11/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
15;;;15;ESMALTE RISQUE PARIS;UN;2,595;5,9;05/04/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182001892;270572;2,61;0;0;0;26/08/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146660/1
