Id Derivação;Código;Código Alternativo;Id Produto;Produto - Derivação;Marca;Modelo;Qtde Estoque;Id Pai;Código Pai;Código Agrupador;Tipo;Tipo Registro;EAN;NCM;CEST;Origem Fiscal;PIS;COFINS;Peso (kg);Largura (cm);Altura (cm);Comprimento (cm);Volume;Palavras Chave;Data de Lançamento;Ativo
895;fannails-algodaoprensado;;461;1000x Algodão Prensado Fan Nails Taper;Fan&Co;;9;0;;;Produto;Pai;;63029100;2805700;0;99;99;0,1;12;3;18;0;algodao, algodoa, augodao;;Sim
896;9003029676899;;461;1000x Algodão Prensado Fan Nails Taper;Fan&Co;;9;895;fannails-algodaoprensado;fannails-algodaoprensado;Produto;Filho;9003029676899;63029100;2805700;0;99;99;0,1;12;3;18;0;algodao, algodoa, augodao;;Sim
2427;colormake-kit-10cores;;1025;10 Cores Colormake Tinta Facial Corporal Maquiagem Artística;ColorMake;;0;0;;;Produto;Pai;;33049990;2800900;0;99;99;0,08;3;3;13;0;;29/10/2022;Sim
2428;7898903221072;;1025;10 Cores Colormake Tinta Facial Corporal Maquiagem Artística;ColorMake;;0;2427;colormake-kit-10cores;colormake-kit-10cores;Produto;Filho;7898903221072;33049990;2800900;0;99;99;0,08;3;3;13;0;;29/10/2022;Sim
2430;7898903221041;;1026;10 Glitter Cremoso Colormake Maquiagem Artística;ColorMake;;1;2429;colormake-kit-10glitter;colormake-kit-10glitter;Produto;Filho;7898903221041;33049990;2800900;0;99;99;0,09;3;3;13;0;;29/10/2022;Sim
2429;colormake-kit-10glitter;;1026;10 Glitter Cremoso Colormake Maquiagem Artística;ColorMake;;1;0;;;Produto;Pai;;33049990;2800900;0;99;99;0,09;3;3;13;0;;29/10/2022;Sim
906;6964741810370;;466;10x Adesivo Protetor de Cílios Inferior Miss Frandy KC18-1037;Miss Frandy;;0;905;missfrandy-kc18-1037;missfrandy-kc18-1037;Produto;Filho;6964741810370;33042090;2800500;0;99;99;0,01;2;2;2;0;;;Não
905;missfrandy-kc18-1037;;466;10x Adesivo Protetor de Cílios Inferior Miss Frandy KC18-1037;Miss Frandy;;0;0;;;Produto;Pai;;33042090;2800500;0;99;99;0,01;2;2;2;0;;;Não
209;kert-masc-sweetvanilla;;118;2 em 1 Máscara Condicionante Keragen Sweet Vanilla Reconstrução 300g;Kert;;3;0;;;Produto;Pai;;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
210;7896380607396;;118;2 em 1 Máscara Condicionante Keragen Sweet Vanilla Reconstrução 300g;Kert;;3;209;kert-masc-sweetvanilla;kert-masc-sweetvanilla;Produto;Filho;7896380607396;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
215;kert-masc-tuttifrutti;;121;2 em 1 Máscara Condicionante Keragen Tutti Frutti Hidratante 300g;Kert;;3;0;;;Produto;Pai;;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
216;7896380607365;;121;2 em 1 Máscara Condicionante Keragen Tutti Frutti Hidratante 300g;Kert;;3;215;kert-masc-tuttifrutti;kert-masc-tuttifrutti;Produto;Filho;7896380607365;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
222;7896380607426;;124;2 em 1 Máscara Condicionante Kert Choco Nuts com Aroma de Chocolate 300g;Kert;;3;221;kert-masc-choconuts;kert-masc-choconuts;Produto;Filho;7896380607426;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
221;kert-masc-choconuts;;124;2 em 1 Máscara Condicionante Kert Choco Nuts com Aroma de Chocolate 300g;Kert;;3;0;;;Produto;Pai;;33059000;2002100;0;99;99;0,34;5;5;21;0;;;Sim
741;fannails-kitlixa;;384;6x Lixa para Alongamento Kit Fan Nails Lavável Polidora Buffer;Fan&Co;;8;0;;;Produto;Pai;;82142000;2802600;0;99;99;0,07;5;3;18;0;;;Sim
742;5678000890379;;384;6x Lixa para Alongamento Kit Fan Nails Lavável Polidora Buffer;Fan&Co;;8;741;fannails-kitlixa;fannails-kitlixa;Produto;Filho;5678000890379;82142000;2802600;0;99;99;0,07;5;3;18;0;;;Sim
193;lola-acidificante-densida;;110;Acidificante Capilar Lola Densidade pH 3.0/4.0 250g;Lola;;12;0;;;Produto;Pai;;33059000;2002100;0;99;99;0,29;7;4;17;0;lolla, asidificandte,;;Sim
194;7899572812134;;110;Acidificante Capilar Lola Densidade pH 3.0/4.0 250g;Lola;;12;193;lola-acidificante-densida;lola-acidificante-densida;Produto;Filho;7899572812134;33059000;2002100;0;99;99;0,29;7;4;17;0;lolla, asidificandte,;;Sim
3456;7898699911119;;1374;Adesivador Bluwe Step 2 10ml;Bluwe;;3;3455;bluwe-adesivador-10ml;bluwe-adesivador-10ml;Produto;Filho;7898699911119;33043000;2001200;0;99;99;0,05;2,8;2,8;7,6;0;unha, adezivador, bluve, bluvi, bluwi, estepe, bruwe, bruve, bruvi;10/04/2023;Sim
3455;bluwe-adesivador-10ml;;1374;Adesivador Bluwe Step 2 10ml;Bluwe;;3;0;;;Produto;Pai;;33043000;2001200;0;99;99;0,05;2,8;2,8;7,6;0;unha, adezivador, bluve, bluvi, bluwi, estepe, bruwe, bruve, bruvi;10/04/2023;Sim
2043;7898699910129;;940;Adesivador Lara Machado Primer Step 2 12ml;Lara Machado;;0;2042;lara-primer-step2;lara-primer-step2;Produto;Filho;7898699910129;33043000;2001200;0;99;99;0,05;4;2;7,3;0;adesivo, adezivador, estepe, stepe;29/09/2022;Não
2042;lara-primer-step2;;940;Adesivador Lara Machado Primer Step 2 12ml;Lara Machado;;0;0;;;Produto;Pai;;33043000;2001200;0;99;99;0,05;4;2;7,3;0;adesivo, adezivador, estepe, stepe;29/09/2022;Não
581;ricca-faixapreta;;304;Adesivo para Remoção de Cravos do Nariz Ricca Faixa Preta 3un;Ricca;;5;0;;;Produto;Pai;;;;0;99;99;0,02;7,5;1,5;12,5;0;;;Sim
582;7897517937461;;304;Adesivo para Remoção de Cravos do Nariz Ricca Faixa Preta 3un;Ricca;;5;581;ricca-faixapreta;ricca-faixapreta;Produto;Filho;7897517937461;;;0;99;99;0,02;7,5;1,5;12,5;0;;;Sim
63;ricca-adesivoacne;;45;Adesivo Secativo para Acne Ricca com Ácido Salílico 20un;Ricca;;0;0;;;Produto;Pai;;33049990;2001500;0;99;99;0,02;8;2;13;0;;;Não
64;7897517937447;;45;Adesivo Secativo para Acne Ricca com Ácido Salílico 20un;Ricca;;0;63;ricca-adesivoacne;ricca-adesivoacne;Produto;Filho;7897517937447;33049990;2001500;0;99;99;0,02;8;2;13;0;;;Não
3825;7896727944863;;1555;Adesivos Para Unhas Postiças Dompel 48 Unidades 12 Tamanhos;Dompel;;0;3824;dompel-adesivounhapostica;dompel-adesivounhapostica;Produto;Filho;7896727944863;35061090;2806300;0;99;99;0,01;8;0,05;13;0;unha, portissa, adezivo, dompeu, donpel, donpeu, manicure, mao, adecivos;01/06/2023;Não
3824;dompel-adesivounhapostica;;1555;Adesivos Para Unhas Postiças Dompel 48 Unidades 12 Tamanhos;Dompel;;0;0;;;Produto;Pai;;35061090;2806300;0;99;99;0,01;8;0,05;13;0;unha, portissa, adezivo, dompeu, donpel, donpeu, manicure, mao, adecivos;01/06/2023;Não
3267;7896602824723;;1327;Água Destilada Quimidrol 1L;Quimidrol;;12;3266;quimidrol-agua1;quimidrol-agua1;Produto;Filho;7896602824723;28539090;2806300;0;99;99;1,05;8,1;8,1;24,2;0;agua, aga, destilado, quemidrol, quimidrou, lito, litro, liquida, liquido;20/03/2023;Sim
3266;quimidrol-agua1;;1327;Água Destilada Quimidrol 1L;Quimidrol;;12;0;;;Produto;Pai;;28539090;2806300;0;99;99;1,05;8,1;8,1;24,2;0;agua, aga, destilado, quemidrol, quimidrou, lito, litro, liquida, liquido;20/03/2023;Sim
901;maxlove-aguamicelarantiox;;464;Água Micelar Max Love Antioxidante 300ml;Max Love;;0;0;;;Produto;Pai;;34012010;2805600;0;99;99;0,3;5;5;15;0;;;Não
902;7908240507330;;464;Água Micelar Max Love Antioxidante 300ml;Max Love;;0;901;maxlove-aguamicelarantiox;maxlove-aguamicelarantiox;Produto;Filho;7908240507330;34012010;2805600;0;99;99;0,3;5;5;15;0;;;Não
